CA1,SSp-ll,0.0002858887
CA3,LSv,1.19167391775353e-06
ILA,DCO,2.70374971070437e-05
SPVC,BST,0.0007837813
FRP,RCH,3.19821144453385e-05
AAA,RR,0.006429358
ICe,PRNr,0.0438408609
LRN,AV,0.0006211242
GRN,GU,0.0002338561
PPN,AUDv,0.0008936009
NLL,VII,0.0674677719
APN,LGd,0.0016226748
PERI,SMT,0.0019354824
PERI,MPN,1.64538285398839e-05
FN,AN,0.0843589762
MOp,RN,0.0016558508
AId,ORBvl,0.0567054277
CA2,DG,0.5453502979
ACAd,SF,0.0001662239
AN,AV,8.19342625045316e-05
MPN,IO,0.000698026
PCG,AOB,8.41611889920284e-06
ACB,ICe,0.0009948044
PTLp,RSPagl,0.0166070654
MOp,CLA,0.0475398118
MS,LH,0.0108565937
SCm,COAa,3.04968270724436e-05
SSp-n,SOC,0.0089609495
IPN,LPO,0.1077799178
PVH,TU,0.0993705016
IP,LPO,0.0015583442
PB,PYR,1.6528813907985e-05
SSp-ll,PL,0.0056026523
AIp,NTS,0.0382391805
SPIV,SSp-n,0.0014797834
BST,LHA,0.0044052639
PT,AIv,0.0055023269
MPO,MPO,0.0104742661
EPd,VM,0.001395024
SPFp,PFL,0.0005753688
VISal,PH,0.0001369625
SI,CUL,0.0002806974
LAV,MOp,0.0080992128
SPVO,SSp-bfd,0.0045122633
PERI,GPi,0.0004597154
ARH,IA,0.0003962411
DMH,DMH,0.012006081
STN,IMD,0.0602103548
MOs,SUBd,0.0003061627
DCO,TR,0.00215183
MGd,SSp-bfd,0.0053610171
IPN,MS,0.2865280586
MOs,PAA,0.0001628268
MRN,PH,0.0187506225
LGd,POL,0.0044734513
CENT,PB,0.0074744294
NTS,AUDd,0.000791324
LGv,PERI,0.0002689299
SSp-bfd,RN,8.55600683896374e-05
RT,VISp,0.0062987218
FN,VAL,0.2468192499
AMB,LSv,0.0013175089
DG,SNr,0.0002472192
SPVO,FL,0.0128327761
PT,SBPV,0.0482206032
MS,VTA,0.0124886019
PRNc,SUT,0.0024697269
FL,NLL,0.1420403593
POL,DCO,0.0005203435
MOp,GPe,0.0397696457
ILA,SPA,0.0145733706
PAA,NLL,0.000239159
EPd,RSPv,0.0027512701
PPN,LHA,0.6854523209
RM,MEA,0.0087820695
ICd,TT,0.0019372631
NI,SPIV,0.0019798607
SPVI,AId,6.70169520008435e-06
LRN,ARH,0.0034025428
PFL,TT,0.0007990795
PGRNl,SF,0.0005517713
LGv,VPL,0.0030145452
NOD,PAR,0.0015621482
AId,LA,0.00144531
CENT,MA,0.0001347576
SSp-ul,PGRNd,0.0035300045
PAA,COAa,0.0191910051
AId,BMA,0.0007368662
RSPd,CM,0.0001773503
PERI,PAG,0.1955400733
RM,AUDv,0.0018110881
AIv,SCs,0.0076098213
MGd,SCm,0.8651075978
PRM,ACB,1.78561005847674e-06
MGv,RE,0.0034511885
VISal,RR,4.59127662187707e-05
TRS,CM,0.0196536759
